Item Name,Level 1 Code,Level 1 Category,Level 2 Code,Level 2 Category,Level 3 Code,Level 3 Category,Level 4 Code,Level 4 Category,Template
"Tee, A182-F304, SW 3000LBS",01,Stainless Steel (SUS),0104,Tee,0104003,A182-F304,0104003001,SW 3000LBS,A
"Tee, A182-F304, Threaded 3000LBS",01,Stainless Steel (SUS),0104,Tee,0104003,A182-F304,0104003005,Threaded 3000LBS,A
"Tee, A182-F304L, SW 3000LBS",01,Stainless Steel (SUS),0104,Tee,0104004,A182-F304L,0104004001,SW 3000LBS,A
"Tee, A403-WP316, Seamless SCH10",01,Stainless Steel (SUS),0104,Tee,0104007,A403-WP316,0104007004,Seamless SCH10,A
"Tee, Spiral",01,Stainless Steel (SUS),0104,Tee,0104011,Spiral,0104011001,Tee,A
"Tee, Structural Pipe (Tube)",01,Stainless Steel (SUS),0104,Tee,0104015,Structural Pipe (Tube),0104015001,Tee,A
"Tee, SUS 316L, BA",01,Stainless Steel (SUS),0104,Tee,0104017,SUS 316L,0104017001,BA,A
"Tee, SUS 316L, EP",01,Stainless Steel (SUS),0104,Tee,0104017,SUS 316L,0104017003,EP,A
"Tee, A403-WP304L, SCH10",01,Stainless Steel (SUS),0104,Tee,0104018,A403-WP304L,0104018002,SCH10,A
"Concentric Reducer, SUS 304, AP/MP",01,Stainless Steel (SUS),0105,Concentric Reducer,0105001,SUS 304,0105001003,AP/MP,A
"Concentric Reducer, SUS 304, SCH10",01,Stainless Steel (SUS),0105,Concentric Reducer,0105001,SUS 304,0105001004,SCH10,A
"Concentric Reducer, SUS 304, PTFE Lined",01,Stainless Steel (SUS),0105,Concentric Reducer,0105001,SUS 304,0105001007,PTFE Lined,A
"Concentric Reducer, A403-WP304, ERW SCH10",01,Stainless Steel (SUS),0105,Concentric Reducer,0105002,A403-WP304,0105002003,ERW SCH10,A
"Concentric Reducer, A403-WP304, Seamless SCH10",01,Stainless Steel (SUS),0105,Concentric Reducer,0105002,A403-WP304,0105002006,Seamless SCH10,A
"Concentric Reducer, A403-WP304, Seamless SCH40",01,Stainless Steel (SUS),0105,Concentric Reducer,0105002,A403-WP304,0105002008,Seamless SCH40,A
"Concentric Reducer, A182-F304, SW 3000LBS",01,Stainless Steel (SUS),0105,Concentric Reducer,0105003,A182-F304,0105003001,SW 3000LBS,A
"Concentric Reducer, SUS 316L, BA",01,Stainless Steel (SUS),0105,Concentric Reducer,0105005,SUS 316L,0105005002,BA,A
"Concentric Reducer, SUS 316L, EP",01,Stainless Steel (SUS),0105,Concentric Reducer,0105005,SUS 316L,0105005003,EP,A
"Concentric Reducer, A182-F316, SW 3000LBS",01,Stainless Steel (SUS),0105,Concentric Reducer,0105008,A182-F316,0105008001,SW 3000LBS,A
"Concentric Reducer, A182-F316L, SW 3000LBS",01,Stainless Steel (SUS),0105,Concentric Reducer,0105009,A182-F316L,0105009001,SW 3000LBS,A
"Concentric Reducer, Spiral",01,Stainless Steel (SUS),0105,Concentric Reducer,0105011,Spiral,0105011001,Reducer,A
"Concentric Reducer, Structural Pipe (Tube)",01,Stainless Steel (SUS),0105,Concentric Reducer,0105015,Structural Pipe (Tube),0105015001,Reducer,A
"Concentric Reducer, A403-WP304L, ERW SCH10",01,Stainless Steel (SUS),0105,Concentric Reducer,0105017,A403-WP304L,0105017002,ERW SCH10,A
