Item Name,Level 1 Code,Level 1 Category,Level 2 Code,Level 2 Category,Level 3 Code,Level 3 Category,Level 4 Code,Level 4 Category,Template
Relief Valve,01,Stainless Steel (SUS),0122,Relief Valve,0122001,Relief Valve,0122001001,Relief Valve,A
"Relief Valve, Safety Valve, A351 CF8",01,Stainless Steel (SUS),0122,Relief Valve,0122002,Safety Valve,0122002009,A351 CF8,A
"Elbow (Short), A403-WP304, Seamless SCH10",01,Stainless Steel (SUS),0123,Elbow (Short),0123003,A403-WP304,0123003002,Seamless SCH10,A
"Elbow (Short), A403-WP304L, SCH10",01,Stainless Steel (SUS),0123,Elbow (Short),0123004,A403-WP304L,0123004002,SCH10,A
"45D Elbow, SUS 304, AP/MP",01,Stainless Steel (SUS),0124,45D Elbow,0124001,SUS 304,0124001001,AP/MP,A
"45D Elbow, SUS 304, SCH10",01,Stainless Steel (SUS),0124,45D Elbow,0124001,SUS 304,0124001003,SCH10,A
"45D Elbow, SUS 304, PTFE Lined",01,Stainless Steel (SUS),0124,45D Elbow,0124001,SUS 304,0124001006,PTFE Lined,A
"45D Elbow, SUS 304, BA",01,Stainless Steel (SUS),0124,45D Elbow,0124001,SUS 304,0124001009,BA,A
"45D Elbow, A403-WP304, Seamless SCH10",01,Stainless Steel (SUS),0124,45D Elbow,0124003,A403-WP304,0124003002,Seamless SCH10,A
"45D Elbow, A403-WP304L, Seamless SCH10",01,Stainless Steel (SUS),0124,45D Elbow,0124004,A403-WP304L,0124004008,Seamless SCH10,A
"45D Elbow, A182-F304, SW 3000LBS",01,Stainless Steel (SUS),0124,45D Elbow,0124005,A182-F304,0124005007,SW 3000LBS,A
"45D Elbow, Structural Pipe (Tube)",01,Stainless Steel (SUS),0124,45D Elbow,0124013,Structural Pipe (Tube),0124013001,45D Elbow,A
"45D Elbow, Spiral",01,Stainless Steel (SUS),0124,45D Elbow,0124015,Spiral,0124015001,45D Elbow,A
"Reducing Tee, SUS 304, AP/MP",01,Stainless Steel (SUS),0125,Reducing Tee,0125001,SUS 304,0125001001,AP/MP,A
"Reducing Tee, SUS 304, SCH10",01,Stainless Steel (SUS),0125,Reducing Tee,0125001,SUS 304,0125001003,SCH10,A
"Reducing Tee, SUS 304, Lined",01,Stainless Steel (SUS),0125,Reducing Tee,0125001,SUS 304,0125001006,Lined,A
"Reducing Tee, A403-WP304, Seamless SCH10",01,Stainless Steel (SUS),0125,Reducing Tee,0125003,A403-WP304,0125003005,Seamless SCH10,A
"Reducing Tee, A403-WP304L, SCH10",01,Stainless Steel (SUS),0125,Reducing Tee,0125004,A403-WP304L,0125004002,SCH10,A
"Reducing Tee, A182-F304, Socket Welding 3000LBS",01,Stainless Steel (SUS),0125,Reducing Tee,0125005,A182-F304,0125005001,Socket Welding 3000LBS,A
"Reducing Tee, SUS 316L, BA",01,Stainless Steel (SUS),0125,Reducing Tee,0125008,SUS 316L,0125008002,BA,A
"Reducing Tee, SUS 316L, EP",01,Stainless Steel (SUS),0125,Reducing Tee,0125008,SUS 316L,0125008003,EP,A
"Reducing Tee, A403-WP316, Seamless SCH10",01,Stainless Steel (SUS),0125,Reducing Tee,0125009,A403-WP316,0125009004,Seamless SCH10,A
"Reducing Tee, A182-F316L, Socket Welding 3000LBS",01,Stainless Steel (SUS),0125,Reducing Tee,0125012,A182-F316L,0125012001,Socket Welding 3000LBS,A
"Reducing Tee, Spiral, R-Tee",01,Stainless Steel (SUS),0125,Reducing Tee,0125015,Spiral,0125015001,R-Tee,A
"Eccentric Reducer, A403-WP304, Seamless SCH10",01,Stainless Steel (SUS),0126,Eccentric Reducer,0126003,A403-WP304,0126003004,Seamless SCH10,A
"Eccentric Reducer, A403-WP304L, Seamless SCH20",01,Stainless Steel (SUS),0126,Eccentric Reducer,0126004,A403-WP304L,0126004005,Seamless SCH20,A
"Cap Reducer, SUS 304, AP/MP",01,Stainless Steel (SUS),0127,Cap Reducer,0127001,SUS 304,0127001001,AP/MP,A
"Plug, SUS304",01,Stainless Steel (SUS),0128,Plug & Cap,0128001,Plug,0128001001,SUS304,A
"Plug, A182 F304",01,Stainless Steel (SUS),0128,Plug & Cap,0128001,Plug,0128001002,A182 F304,A
"Cap, SUS 304",01,Stainless Steel (SUS),0128,Plug & Cap,0128002,Cap,0128002005,SUS 304,A
"Cap, A182 F304",01,Stainless Steel (SUS),0128,Plug & Cap,0128002,Cap,0128002006,A182 F304,A
"Cap, A182 F304L",01,Stainless Steel (SUS),0128,Plug & Cap,0128002,Cap,0128002007,A182 F304L,A
"Cap, SUS 316L",01,Stainless Steel (SUS),0128,Plug & Cap,0128002,Cap,0128002015,SUS 316L,A
"Cap, A403-WP304 Seamless",01,Stainless Steel (SUS),0128,Plug & Cap,0128002,Cap,0128002018,A403-WP304 Seamless,A
"Cap, A403-WP304L Seamless",01,Stainless Steel (SUS),0128,Plug & Cap,0128002,Cap,0128002019,A403-WP304L Seamless,A
"Socket, SUS 304",01,Stainless Steel (SUS),0130,Socket,0130001,SUS 304,0130001001,Standard,A
"Bushing, SUS 304",01,Stainless Steel (SUS),0131,Bushing & Boss,0131001,Bushing,0131001001,SUS 304,A
"Bushing, A182 F304",01,Stainless Steel (SUS),0131,Bushing & Boss,0131001,Bushing,0131001002,A182 F304,A
"Bushing, A182 F304L",01,Stainless Steel (SUS),0131,Bushing & Boss,0131001,Bushing,0131001003,A182 F304L,A
"Bushing, A182 F316",01,Stainless Steel (SUS),0131,Bushing & Boss,0131001,Bushing,0131001004,A182 F316,A
"Boss, A182 F304L",01,Stainless Steel (SUS),0131,Bushing & Boss,0131002,Boss,0131002002,A182 F304L,A
"Bellows Valve, 316L EP, Flange",01,Stainless Steel (SUS),0133,Bellows Valve,0133003,316L EP,0133003003,Flange,A
"Bellows Valve, 316L EP, VCR",01,Stainless Steel (SUS),0133,Bellows Valve,0133003,316L EP,0133003005,VCR,A
"Control Valve, SUS 316L",01,Stainless Steel (SUS),0134,Control Valve,0134002,SUS 316L,0134002001,Standard,A
"Full Coupling, A182 F304",01,Stainless Steel (SUS),0136,Coupling,0136002,Full Coupling,0136002001,A182 F304,A
"Full Coupling, A182 F304L",01,Stainless Steel (SUS),0136,Coupling,0136002,Full Coupling,0136002002,A182 F304L,A
"Coupling, Spiral, SUS 304",01,Stainless Steel (SUS),0136,Coupling,0136003,Spiral,0136003001,SUS 304,A
"Quick Coupling, SUS 304",01,Stainless Steel (SUS),0136,Coupling,0136004,Quick Coupling,0136004001,SUS 304,A
"Pipe Coupling, SUS 304",01,Stainless Steel (SUS),0136,Coupling,0136005,Pipe Coupling,0136005001,SUS 304,A
"Reducer Insert, A182 F304, SW 3000LBS",01,Stainless Steel (SUS),0137,Reducer Insert,0137001,A182 F304,0137001001,SW 3000LBS,A
"Reducer Insert, A182 F304L, SW 3000LBS",01,Stainless Steel (SUS),0137,Reducer Insert,0137002,A182 F304L,0137002001,SW 3000LBS,A
"Outlets, Socket Outlet, A182 F304 3000LBS",01,Stainless Steel (SUS),0138,Outlets,0138001,Socket Outlet,0138001001,A182 F304 3000LBS,A
"Outlets, Socket Outlet, A182 F304L 3000LBS",01,Stainless Steel (SUS),0138,Outlets,0138001,Socket Outlet,0138001002,A182 F304L 3000LBS,A
"Outlets, Socket Outlet, A182 F316 3000LBS",01,Stainless Steel (SUS),0138,Outlets,0138001,Socket Outlet,0138001003,A182 F316 3000LBS,A
"Outlets, Socket Outlet, A182 F316L 3000LBS",01,Stainless Steel (SUS),0138,Outlets,0138001,Socket Outlet,0138001004,A182 F316L 3000LBS,A
"Outlets, Welding Outlet, A182 F304L STD",01,Stainless Steel (SUS),0138,Outlets,0138002,Welding Outlet,0138002006,A182 F304L STD,A
"Outlets, Welding Outlet, A182 F304 3000#",01,Stainless Steel (SUS),0138,Outlets,0138002,Welding Outlet,0138002019,A182 F304 3000#,A
"Outlets, Thread Outlet, A182 F304 3000LBS",01,Stainless Steel (SUS),0138,Outlets,0138003,Thread Outlet,0138003001,A182 F304 3000LBS,A
"Outlets, Thread Outlet, A182 F304L 3000LBS",01,Stainless Steel (SUS),0138,Outlets,0138003,Thread Outlet,0138003002,A182 F304L 3000LBS,A
"Outlets, Thread Outlet, A182 F316L 3000LBS",01,Stainless Steel (SUS),0138,Outlets,0138003,Thread Outlet,0138003004,A182 F316L 3000LBS,A
"Camlock Coupling, C-Type (Socket), SUS 304",01,Stainless Steel (SUS),0139,Camlock Coupling,0139001,C-Type (Socket),0139001001,SUS 304,A
"Camlock Coupling, F-Type (Plug), SUS 304",01,Stainless Steel (SUS),0139,Camlock Coupling,0139004,F-Type (Plug),0139004001,SUS 304,A
"Camlock Coupling, A-Type (Plug), SUS 316L",01,Stainless Steel (SUS),0139,Camlock Coupling,0139006,A-Type (Plug),0139006002,SUS 316L,A
"Camlock Coupling, DC-Type (Dust Cap), SUS 304",01,Stainless Steel (SUS),0139,Camlock Coupling,0139007,DC-Type (Dust Cap),0139007001,SUS 304,A
"Camlock Coupling, DP-Type (Dust Plug), SUS 304",01,Stainless Steel (SUS),0139,Camlock Coupling,0139008,DP-Type (Dust Plug),0139008001,SUS 304,A
"Camlock Coupling, Combination Type, SUS 304",01,Stainless Steel (SUS),0139,Camlock Coupling,0139009,Combination Type,0139009001,SUS 304,A
"Strainer, A351 CF8, Flange 150LB",01,Stainless Steel (SUS),0140,Strainer,0140006,A351 CF8,0140006002,Flange 150LB,A
"Strainer, A351 CF8, BB OS&Y 150LB",01,Stainless Steel (SUS),0140,Strainer,0140006,A351 CF8,0140006003,BB OS&Y 150LB,A
"Strainer, A351 CF8M, BB OS&Y 150LB",01,Stainless Steel (SUS),0140,Strainer,0140007,A351 CF8M,0140007001,BB OS&Y 150LB,A
"Strainer, A351 CF3, Flange 150LBS",01,Stainless Steel (SUS),0140,Strainer,0140009,A351 CF3,0140009001,Flange 150LBS,A
"Sightglass, A351 CF8, Lantern Type",01,Stainless Steel (SUS),0141,Sightglass,0141003,A351 CF8,0141003002,Lantern Type,A
"Duct Damper, For Spiral Duct",01,Stainless Steel (SUS),0147,Damper,0147001,For Spiral Duct,0147001001,Duct Damper,A
"Valves (Misc.), Inlet Valve, SUS 304",01,Stainless Steel (SUS),0148,Valves (Misc.),0148002,Inlet Valve,0148002001,SUS 304,A
Valves (Misc.),01,Stainless Steel (SUS),0148,Valves (Misc.),0148005,Other,0148005001,Standard,A
"Valves (Misc.), Shuttle Valve, Screw 10K",01,Stainless Steel (SUS),0148,Valves (Misc.),0148009,Shuttle Valve,0148009001,Screw 10K,A
"Breather Valve, SCS13, Flange 10K",01,Stainless Steel (SUS),0149,Breather Valve,0149001,SCS13,0149001001,Flange 10K,A
Solenoid Valve,01,Stainless Steel (SUS),0150,Solenoid Valve,0150001,Standard,0150001001,Standard,A
Sleeve,01,Stainless Steel (SUS),0152,Sleeve,0152001,Sleeve,0152001001,Sleeve,A
"SUS Fabricated Items, SUS 316 Fabricated Items",01,Stainless Steel (SUS),0156,Other,0156002,SUS Fabricated Items,0156002002,SUS 316 Fabricated Items,A
Pipe Adapter,01,Stainless Steel (SUS),0156,Other,0156003,Adapter,0156003001,Pipe Adapter,A
Hex Adapter,01,Stainless Steel (SUS),0156,Other,0156003,Adapter,0156003002,Hex Adapter,A
Clamp Band,01,Stainless Steel (SUS),0156,Other,0156004,Clamp,0156004001,Clamp Band,A
Box,01,Stainless Steel (SUS),0156,Other,0156005,Box,0156005001,Standard,A
"Spacer Ring, Stainless Steel (SUS)",01,Stainless Steel (SUS),0158,Blind & Spacer Ring,0158002,Spacer Ring,0158002001,Spacer Ring,A
"SPP/SGP Standard Steel Pipe, Galvanized SPP",02,Carbon Steel,0202,Pipe,0202007,SPP/SGP Standard Steel Pipe,0202007002,Galvanized SPP,A
"Pipe, A53 Gr.B, ERW STD",02,Carbon Steel,0202,Pipe,0202010,A53 Gr.B,0202010001,ERW STD,A
"Pipe, A53 Gr.B, ERW SCH40",02,Carbon Steel,0202,Pipe,0202010,A53 Gr.B,0202010002,ERW SCH40,A
"Pipe, A53 Gr.B, ERW X-S",02,Carbon Steel,0202,Pipe,0202010,A53 Gr.B,0202010003,ERW X-S,A
"Pipe, A53 Gr.B, Galvanized ERW SCH40",02,Carbon Steel,0202,Pipe,0202010,A53 Gr.B,0202010008,Galvanized ERW SCH40,A
"Pipe, A53 Gr.B, Galvanized ERW SCH80",02,Carbon Steel,0202,Pipe,0202010,A53 Gr.B,0202010010,Galvanized ERW SCH80,A
"Pipe, A53 Gr.B, ERW SCH20",02,Carbon Steel,0202,Pipe,0202010,A53 Gr.B,0202010015,ERW SCH20,A
"Fabricated Carbon Steel Pipe, PTFE Lined",02,Carbon Steel,0202,Pipe,0202018,Fabricated Carbon Steel Pipe,0202018002,PTFE Lined,A
"90D Elbow (LR), SPPS/STPG, ERW, Standard",02,Carbon Steel,0203,90D Elbow (LR),0203001,SPPS/STPG,0203001001,"ERW, Standard",A
"90D Elbow (LR), SPPS/STPG, Galvanized ERW, Standard",02,Carbon Steel,0203,90D Elbow (LR),0203001,SPPS/STPG,0203001008,"Galvanized ERW, Standard",A
"90D Elbow (LR), SPPS/STPG, Lined",02,Carbon Steel,0203,90D Elbow (LR),0203001,SPPS/STPG,0203001011,Lined,A
"90D Elbow (LR), A105, SW 3000# Galvanized",02,Carbon Steel,0203,90D Elbow (LR),0203002,A105,0203002009,SW 3000# Galvanized,A
"90D Elbow (LR), A105, Threaded 3000# Galvanized",02,Carbon Steel,0203,90D Elbow (LR),0203002,A105,0203002013,Threaded 3000# Galvanized,A
"90D Elbow (LR), A234 WPB, SML'S STD",02,Carbon Steel,0203,90D Elbow (LR),0203003,A234 WPB,0203003001,SML'S STD,A
"90D Elbow (LR), A234 WPB Galvanized, SML'S STD Galvanized",02,Carbon Steel,0203,90D Elbow (LR),0203004,A234 WPB Galvanized,0203004001,SML'S STD Galvanized,A
"90D Elbow (LR), Black Threaded",02,Carbon Steel,0203,90D Elbow (LR),0203005,Threaded,0203005001,Black Threaded,A
"Tee, SPPS/STPG, Galvanized ERW, Standard",02,Carbon Steel,0204,Tee,0204001,SPPS/STPG,0204001004,"Galvanized ERW, Standard",A
"Tee, A105, Galvanized S/W 3000#",02,Carbon Steel,0204,Tee,0204002,A105,0204002007,Galvanized S/W 3000#,A
"Tee, A105, Galvanized Threaded 3000#",02,Carbon Steel,0204,Tee,0204002,A105,0204002011,Galvanized Threaded 3000#,A
"Tee, A234-WPB, Seamless STD",02,Carbon Steel,0204,Tee,0204003,A234-WPB,0204003001,Seamless STD,A
"Concentric Reducer, A234-WPB, Seamless STD",02,Carbon Steel,0205,Concentric Reducer,0205003,A234-WPB,0205003001,Seamless STD,A
"Concentric Reducer, A234-WPB Galvanized, Galvanized Seamless STD",02,Carbon Steel,0205,Concentric Reducer,0205004,A234-WPB Galvanized,0205004001,Galvanized Seamless STD,A
"Concentric Reducer, A234-WPB Galvanized, Galvanized Seamless X-S",02,Carbon Steel,0205,Concentric Reducer,0205004,A234-WPB Galvanized,0205004003,Galvanized Seamless X-S,A
"Eccentric Reducer, A234-WPB, Seamless STD",02,Carbon Steel,0207,Eccentric Reducer,0207003,A234-WPB,0207003001,Seamless STD,A
"Cap, A234-WPB, Seamless STD",02,Carbon Steel,0208,Cap,0208003,A234-WPB,0208003001,Seamless STD,A
"Coupling, Spiral, Galvanized",02,Carbon Steel,0210,Coupling,0210005,Spiral,0210005001,Galvanized,A
Coupling,02,Carbon Steel,0210,Coupling,0210007,Other,0210007001,Standard,A
"Union, A105, S/W 3000#",02,Carbon Steel,0211,Union,0211001,A105,0211001001,S/W 3000#,A
"Union, A105 Galvanized, Threaded 3000#",02,Carbon Steel,0211,Union,0211002,A105 Galvanized,0211002004,Threaded 3000#,A
"Union, Galvanized Threaded",02,Carbon Steel,0211,Union,0211003,Threaded,0211003002,Galvanized Threaded,A
"Plug, Hex Head, A105 3000#",02,Carbon Steel,0212,Plug,0212001,Hex Head,0212001002,A105 3000#,A
"Plug, Hex Head, A105 Galvanized 3000#",02,Carbon Steel,0212,Plug,0212001,Hex Head,0212001004,A105 Galvanized 3000#,A
"Boss & Bushing & Socket, Hex Head Bushing, A105 3000#",02,Carbon Steel,0213,Boss & Bushing & Socket,0213003,Hex Head Bushing,0213003001,A105 3000#,A
"Boss & Bushing & Socket, Hex Head Bushing, A105 Galvanized 3000#",02,Carbon Steel,0213,Boss & Bushing & Socket,0213003,Hex Head Bushing,0213003002,A105 Galvanized 3000#,A
"Boss & Bushing & Socket, Threaded Bushing, Black Threaded",02,Carbon Steel,0213,Boss & Bushing & Socket,0213004,Threaded Bushing,0213004001,Black Threaded,A
"Boss & Bushing & Socket, Threaded Bushing, Galvanized Threaded",02,Carbon Steel,0213,Boss & Bushing & Socket,0213004,Threaded Bushing,0213004002,Galvanized Threaded,A
"Boss & Bushing & Socket, Threaded Socket, Galvanized Threaded",02,Carbon Steel,0213,Boss & Bushing & Socket,0213005,Threaded Socket,0213005002,Galvanized Threaded,A
"Reducing Insert, A105, S/W 3000#",02,Carbon Steel,0216,Reducing Insert,0216001,A105,0216001001,S/W 3000#,A
"Nipple, A106 Gr.B SML'S, SCH40S TBE",02,Carbon Steel,0217,Nipple,0217003,A106 Gr.B SML'S,0217003001,SCH40S TBE,A
"Nipple, A53 Gr.B ERW, SCH40S TBE",02,Carbon Steel,0217,Nipple,0217005,A53 Gr.B ERW,0217005001,SCH40S TBE,A
"Nipple, A53 Gr.B ERW, SCH40S TE*PE",02,Carbon Steel,0217,Nipple,0217005,A53 Gr.B ERW,0217005003,SCH40S TE*PE,A
"Nipple, A53 Gr.B ERW, SCH80S TBE",02,Carbon Steel,0217,Nipple,0217005,A53 Gr.B ERW,0217005004,SCH80S TBE,A
"Nipple, A53 Gr.B ERW Galvanized, SCH40S TBE",02,Carbon Steel,0217,Nipple,0217006,A53 Gr.B ERW Galvanized,0217006001,SCH40S TBE,A
"Nipple, A53 Gr.B ERW Galvanized, SCH80S TBE",02,Carbon Steel,0217,Nipple,0217006,A53 Gr.B ERW Galvanized,0217006004,SCH80S TBE,A
"Nipple, A733",02,Carbon Steel,0217,Nipple,0217007,A733,0217007001,A733,A
Straight Nipple,02,Carbon Steel,0217,Nipple,0217009,Other,0217009001,Straight Nipple,A
Nipple,02,Carbon Steel,0217,Nipple,0217009,Other,0217009002,Standard,A
"Socket Outlet (SOL), A105 3000# S/W",02,Carbon Steel,0218,Outlet,0218001,Socket Outlet (SOL),0218001001,A105 3000# S/W,A
"Welding Outlet (WOL), A105 6000#",02,Carbon Steel,0218,Outlet,0218002,Welding Outlet (WOL),0218002002,A105 6000#,A
"Welding Outlet (WOL), A105 3000# Galvanized",02,Carbon Steel,0218,Outlet,0218002,Welding Outlet (WOL),0218002004,A105 3000# Galvanized,A
"Welding Outlet (WOL), A105 S40",02,Carbon Steel,0218,Outlet,0218002,Welding Outlet (WOL),0218002008,A105 S40,A
"Thread Outlet (TOL), A105 3000# Threaded",02,Carbon Steel,0218,Outlet,0218003,Thread Outlet (TOL),0218003002,A105 3000# Threaded,A
"Thread Outlet (TOL), A105 3000# Galvanized Threaded",02,Carbon Steel,0218,Outlet,0218003,Thread Outlet (TOL),0218003005,A105 3000# Galvanized Threaded,A
"Flange, A105 150#, SORF",02,Carbon Steel,0221,Flange,0221005,A105 150#,0221005001,SORF,A
"Flange, A105 150#, WNRF STD",02,Carbon Steel,0221,Flange,0221005,A105 150#,0221005005,WNRF STD,A
"Flange, A105 150#, WNRF XS",02,Carbon Steel,0221,Flange,0221005,A105 150#,0221005006,WNRF XS,A
"Flange, A105 150#, BLRF",02,Carbon Steel,0221,Flange,0221005,A105 150#,0221005013,BLRF,A
"Flange, A105 150# Galvanized, SORF",02,Carbon Steel,0221,Flange,0221006,A105 150# Galvanized,0221006001,SORF,A
"Flange, A105 150# Galvanized, SWRF",02,Carbon Steel,0221,Flange,0221006,A105 150# Galvanized,0221006003,SWRF,A
"Flange, A105 150# Galvanized, WNRF STD",02,Carbon Steel,0221,Flange,0221006,A105 150# Galvanized,0221006005,WNRF STD,A
"Flange, A105 150# Galvanized, Threaded / RF",02,Carbon Steel,0221,Flange,0221006,A105 150# Galvanized,0221006007,Threaded / RF,A
"Flange, A105 150# Galvanized, BLRF",02,Carbon Steel,0221,Flange,0221006,A105 150# Galvanized,0221006013,BLRF,A
"Flange, A105 150# Galvanized, WNRF XS",02,Carbon Steel,0221,Flange,0221006,A105 150# Galvanized,0221006015,WNRF XS,A
"Ball Valve, A105, SCR'D 600LBS",02,Carbon Steel,0222,Ball Valve,0222002,A105,0222002013,SCR'D 600LBS,A
"Ball Valve, A216-WCB, Flange 150LBS",02,Carbon Steel,0222,Ball Valve,0222004,A216-WCB,0222004001,Flange 150LBS,A
"Swing Check Valve, A216 Gr.WCB, Flange 150LBS",02,Carbon Steel,0224,Swing Check Valve,0224002,A216 Gr.WCB,0224002001,Flange 150LBS,A
"Lift Check Valve, A126-B, Silent Check Valve",02,Carbon Steel,0225,Lift Check Valve,0225003,A126-B,0225003001,Silent Check Valve,A
"90D Elbow (SR), A234 WPB, SML'S STD",02,Carbon Steel,0231,90D Elbow (SR),0231003,A234 WPB,0231003001,SML'S STD,A
"45D Elbow, A234 WPB, SML'S STD",02,Carbon Steel,0232,45D Elbow,0232001,A234 WPB,0232001001,SML'S STD,A
"45D Elbow, SPPS/STPG, Galvanized ERW, Standard",02,Carbon Steel,0232,45D Elbow,0232002,SPPS/STPG,0232002004,"Galvanized ERW, Standard",A
"45D Elbow, SPPS/STPG, PTFE Lined",02,Carbon Steel,0232,45D Elbow,0232002,SPPS/STPG,0232002007,PTFE Lined,A
"45D Elbow, A105, Threaded 3000# Galvanized",02,Carbon Steel,0232,45D Elbow,0232003,A105,0232003011,Threaded 3000# Galvanized,A
"Reducing Tee, SPPS/STPG, Galvanized ERW, Standard",02,Carbon Steel,0234,Reducing Tee,0234001,SPPS/STPG,0234001004,"Galvanized ERW, Standard",A
"Reducing Tee, A234-WPB, Seamless STD",02,Carbon Steel,0234,Reducing Tee,0234003,A234-WPB,0234003001,Seamless STD,A
"Reducing Tee, A234-WPB Galvanized, Seamless STD",02,Carbon Steel,0234,Reducing Tee,0234004,A234-WPB Galvanized,0234004001,Seamless STD,A
"Y-Strainer A126-B, Flange 150LBS",02,Carbon Steel,0235,Strainer,0235003,Y-Strainer A126-B,0235003001,Flange 150LBS,A
Air Vent,02,Carbon Steel,0238,Air Vent,0238001,Standard,0238001001,Standard,A
"Damper, For Spiral Duct, Round Volume",02,Carbon Steel,0241,Damper,0241001,For Spiral Duct,0241001004,Round Volume,A
"Pressure Reducing Valve, A216 Gr.WCB, Flange 150#",02,Carbon Steel,0244,Pressure Reducing Valve,0244004,A216 Gr.WCB,0244004001,Flange 150#,A
"Flexible Connector, Two Ball Type",02,Carbon Steel,0245,Flexible,0245001,Flexible Connector,0245001002,Two Ball Type,A
"Pressure Regulating Valve, 150#",02,Carbon Steel,0246,Pressure Regulating Valve,0246002,150#,0246002001,150#,A
"Manual Butterfly Valve, A216 WCB",02,Carbon Steel,0249,Butterfly Valve,0249001,Manual Butterfly Valve,0249001001,A216 WCB,A
"Manual Butterfly Valve, A126 B",02,Carbon Steel,0249,Butterfly Valve,0249001,Manual Butterfly Valve,0249001004,A126 B,A
"Butterfly Valve, FCD450, 10K",02,Carbon Steel,0249,Butterfly Valve,0249004,FCD450,0249004002,10K,A
"Blank & Spacer, A105 105#, RF",02,Carbon Steel,0251,Blank & Spacer,0251001,A105 105#,0251001001,RF,A
Spare Pak Joint,02,Carbon Steel,0255,Spare Pak Joint,0255001,Spare Pak Joint,0255001001,Spare Pak Joint,A
"Pilot Valve, FCD45, Flange",02,Carbon Steel,0256,Pilot Valve,0256001,FCD45,0256001001,Flange,A
Duct,02,Carbon Steel,0261,Duct,0261002,Other,0261002001,Other,A
"Spacer Ring, Carbon Steel",02,Carbon Steel,0262,Blind & Spacer Ring,0262002,Spacer Ring,0262002001,Spacer Ring,A
PFA Tube (Roll),03,PFA,0302,Tube,0302001,PFA Tube (Roll),0302001001,Standard,B
"LPP Tube, PFA",03,PFA,0302,Tube,0302003,LPP Tube,0302003001,Standard,B
"Flexible Tube / Hose, PFA",03,PFA,0302,Tube,0302004,Flexible Tube / Hose,0302004001,Standard,B
"Manual Valve, Flare Type, PFA",03,PFA,0303,Valve,0303001,Manual Valve,0303001001,Flare Type,B
"TS Valve, PFA",03,PFA,0303,Valve,0303003,TS Valve,0303003001,Standard,B
"Block Valve, Seba, PFA",03,PFA,0303,Valve,0303005,Block Valve,0303005002,Seba,B
"Check Valve, Furon, PFA",03,PFA,0303,Valve,0303006,Check Valve,0303006001,Furon,B
"Welding Type, Pipe Elbow, PFA",03,PFA,0304,Fitting,0304002,Welding Type,0304002001,Pipe Elbow,B
"Welding Type, Pipe Flange Adapter, PFA",03,PFA,0304,Fitting,0304002,Welding Type,0304002002,Pipe Flange Adapter,B
"Flare Type, Union Flange Adapter, PFA",03,PFA,0304,Fitting,0304003,Flare Type,0304003002,Union Flange Adapter,B
"Flare Type, Union Reducing Tee, PFA",03,PFA,0304,Fitting,0304003,Flare Type,0304003003,Union Reducing Tee,B
"Flare Type, Reducing Union, PFA",03,PFA,0304,Fitting,0304003,Flare Type,0304003004,Reducing Union,B
"Flare Type, Union Straight, PFA",03,PFA,0304,Fitting,0304003,Flare Type,0304003005,Union Straight,B
"Flare Type, Union Tee, PFA",03,PFA,0304,Fitting,0304003,Flare Type,0304003006,Union Tee,B
"Flare Type, End Cap, PFA",03,PFA,0304,Fitting,0304003,Flare Type,0304003011,End Cap,B
"Flare Type, Nut, PFA",03,PFA,0304,Fitting,0304003,Flare Type,0304003015,Nut,B
"Flare Type, Male Connector, PFA",03,PFA,0304,Fitting,0304003,Flare Type,0304003017,Male Connector,B
"Flare Type, Sleeve, PFA",03,PFA,0304,Fitting,0304003,Flare Type,0304003023,Sleeve,B
"Flare Type, Union Flange, PFA",03,PFA,0304,Fitting,0304003,Flare Type,0304003031,Union Flange,B
"Accessories, Vessel, PFA",03,PFA,0306,Accessories,0306004,Vessel & Air Separator,0306004002,Vessel,B
"Ferrule, PFA",03,PFA,0306,Accessories,0306018,Ferrule,0306018001,Standard,B
"Diaphragm Valve, PFA Lined",03,PFA,0307,PFA Lined,0307001,Valve,0307001001,Diaphragm Valve,B
"Ball Valve, PFA Lined",03,PFA,0307,PFA Lined,0307001,Valve,0307001002,Ball Valve,B
"Valve, PFA Lined",03,PFA,0307,PFA Lined,0307001,Valve,0307001005,Other Valves,B
PFA,03,PFA,0309,Other,0309001,Standard,0309001001,Standard,B
"ECTFE, Halar, PFA",03,PFA,0309,Other,0309002,ECTFE,0309002001,Halar,B
"ECTFE, PFA",03,PFA,0309,Other,0309002,ECTFE,0309002002,Standard,B
"Duct, Pipe, PVC",04,PVC,0401,Pipe,0401005,Duct,0401005001,Pipe,B
"Standard PVC Pipe (Gray, Asung)",04,PVC,0401,Pipe,0401006,"Standard PVC Pipe (Gray, Asung)",0401006001,"Standard PVC Pipe (Gray, Asung)",B
"45D Elbow, Duct, PVC",04,PVC,0402,Fitting,0402001,45D Elbow,0402001007,Duct,B
"90D Elbow, TS Solvent-Weld (Water Service), PVC",04,PVC,0402,Fitting,0402002,90D Elbow,0402002003,TS Solvent-Weld (Water Service),B
"90D Elbow, Duct, PVC",04,PVC,0402,Fitting,0402002,90D Elbow,0402002007,Duct,B
"Cap & Cleanout, TS Solvent-Weld (Water Service), PVC",04,PVC,0402,Fitting,0402003,Cap & Cleanout,0402003001,TS Solvent-Weld (Water Service),B
"Tee, Duct, PVC",04,PVC,0402,Fitting,0402004,Tee,0402004005,Duct,B
